id;title;i_sbn;price;is_rented;rental
1;Brand;neutral Salad;Auto Loan Account modular Refined;false;mint green e-business EXE
2;back-end;granular Direct contextually-based;synergies copying;true;Games
3;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;true;facilitate Tasty Concrete Chips Exclusive
4;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;false;Granite Berkshire Designer
5;Credit Card Account;navigate;Re-contextualized;true;Point Orchestrator
6;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;true;Future-proofed deposit Sausages
7;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;true;Borders content-based
8;Tasty Customer Human;pink even-keeled;bus Internal AI;true;invoice Unbranded Cheese
9;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;true;Fish
10;Networked;Fish;payment calculating;true;Nevada
